Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Aldosterone synthesis and secretion	2/98	0.2260304394721133	0.6639644159493328	0	0	2.269912523020258	3.3755542281719553	ATF2;CREB1
mRNA surveillance pathway	2/98	0.2260304394721133	0.6639644159493328	0	0	2.269912523020258	3.3755542281719553	GLE1;CSTF2T
Melanogenesis	2/101	0.23615348861382382	0.6663621150533243	0	0	2.2007924549361015	3.1763450107872977	CREB1;RAF1
Longevity regulating pathway	2/102	0.23953378202260284	0.6663621150533243	0	0	2.1786740331491714	3.113457699870965	ATF2;CREB1
Alcoholism	3/186	0.24252937379337172	0.6663621150533243	0	0	1.78816029143898	2.533165889102211	ATF2;CREB1;RAF1
RNA transport	3/186	0.24252937379337172	0.6663621150533243	0	0	1.78816029143898	2.533165889102211	EIF4A2;GLE1;NUP88
Circadian rhythm	1/31	0.24811355347730163	0.6663621150533243	0	0	3.623992673992674	5.051370177234049	CREB1
Galactose metabolism	1/31	0.24811355347730163	0.6663621150533243	0	0	3.623992673992674	5.051370177234049	GLB1
Glucagon signaling pathway	2/107	0.25646506026230553	0.6785104876197526	0	0	2.074401473296501	2.8227684420752337	ATF2;CREB1
Insulin resistance	2/108	0.25985508036501165	0.6785104876197526	0	0	2.054727405399771	2.769014731424745	MLXIP;CREB1
Pathways of neurodegeneration	6/475	0.26919180371388424	0.6932610835371266	0	0	1.3984315709587656	1.8352052816507438	GABARAPL2;TUBB3;RAF1;KLC1;TUBB4A;GABARAP
TNF signaling pathway	2/112	0.27341774394800117	0.69462886300303	0	0	1.9796082370668007	2.5670658020456094	ATF2;CREB1
Focal adhesion	3/201	0.27944699150553043	0.6974387937803583	0	0	1.6514309764309765	2.1054798004019943	COL6A1;LAMC1;RAF1
Starch and sucrose metabolism	1/36	0.28194334216652783	0.6974387937803583	0	0	3.1054945054945056	3.931708655822568	AGL
Alanine, aspartate and glutamate metabolism	1/37	0.2885253982566023	0.6975069547957337	0	0	3.019078144078144	3.752630086051709	CPS1
Proteoglycans in cancer	3/205	0.28939118337269804	0.6975069547957337	0	0	1.6183993399339933	2.006776227363596	RDX;RAF1;EZR
AMPK signaling pathway	2/120	0.3004981463472924	0.7060839144483577	0	0	1.8446483753160408	2.2178460014960844	CCNA2;CREB1
Cell cycle	2/124	0.3139832683519003	0.7060839144483577	0	0	1.7838058146906983	2.0663884474271406	CCNA2;YWHAZ
Bladder cancer	1/41	0.3142589618637681	0.7060839144483577	0	0	2.716620879120879	3.144591664613612	RAF1
cAMP signaling pathway	3/216	0.31685271618344507	0.7060839144483577	0	0	1.5339593114241001	1.7630074019112523	ABCC4;CREB1;RAF1
Human T-cell leukemia virus 1 infection	3/219	0.32435704010182626	0.7060839144483577	0	0	1.5124228395061727	1.702852595571171	CCNA2;ATF2;CREB1
Oocyte meiosis	2/129	0.3307586260745159	0.7060839144483577	0	0	1.7131422108148084	1.8953629735819777	YWHAZ;AURKA
Purine metabolism	2/129	0.3307586260745159	0.7060839144483577	0	0	1.7131422108148084	1.8953629735819777	RRM2B;PFAS
Vasopressin-regulated water reabsorption	1/44	0.3329497033312841	0.7060839144483577	0	0	2.5267058522872476	2.7787797343426393	CREB1
ABC transporters	1/45	0.33906666076868597	0.7060839144483577	0	0	2.469155844155844	2.6705366182256327	ABCC4
Glycosphingolipid biosynthesis	1/45	0.33906666076868597	0.7060839144483577	0	0	2.469155844155844	2.6705366182256327	GLB1
Human cytomegalovirus infection	3/225	0.33936510450622187	0.7060839144483577	0	0	1.4710960960960962	1.589782285421686	ATF2;CREB1;RAF1
Proteasome	1/46	0.345127828361804	0.7060839144483577	0	0	2.414163614163614	2.5682848177524966	POMP
Nucleotide excision repair	1/47	0.3511337121816168	0.7060839144483577	0	0	2.3615623506927856	2.471583246515556	RAD23A
Other types of O-glycan biosynthesis	1/47	0.3511337121816168	0.7060839144483577	0	0	2.3615623506927856	2.471583246515556	GXYLT1
Yersinia infection	2/137	0.3573517562224355	0.7060839144483577	0	0	1.6109678739512994	1.6577417957697402	ACTR2;PKN1
Vibrio cholerae infection	1/50	0.3688246532278824	0.7060839144483577	0	0	2.216640502354788	2.2109524751177334	ATP6V1A
Cholesterol metabolism	1/50	0.3688246532278824	0.7060839144483577	0	0	2.216640502354788	2.2109524751177334	LRP1
Cysteine and methionine metabolism	1/50	0.3688246532278824	0.7060839144483577	0	0	2.216640502354788	2.2109524751177334	AHCYL2
Malaria	1/50	0.3688246532278824	0.7060839144483577	0	0	2.216640502354788	2.2109524751177334	LRP1
Apoptosis	2/142	0.3737822045883914	0.7060839144483577	0	0	1.5530386740331492	1.5283173917883142	RAF1;CTSC
Signaling pathways regulating pluripotency of stem cells	2/143	0.377048419178708	0.7060839144483577	0	0	1.5419458485169077	1.5039857120671132	RAF1;INHBE
Glycosaminoglycan biosynthesis	1/53	0.3860358247792144	0.7060839144483577	0	0	2.088440405748098	1.98783000538624	CHST14
Parkinson disease	3/249	0.39899920781428794	0.7060839144483577	0	0	1.325948509485095	1.2182759845430156	TUBB3;KLC1;TUBB4A
Adrenergic signaling in cardiomyocytes	2/150	0.39970854072062645	0.7060839144483577	0	0	1.4684933552336867	1.346637256278847	ATF2;CREB1
Hedgehog signaling pathway	1/56	0.4027801682709942	0.7060839144483577	0	0	1.9742257742257743	1.7952905458873147	ARRB2
Pyrimidine metabolism	1/56	0.4027801682709942	0.7060839144483577	0	0	1.9742257742257743	1.7952905458873147	RRM2B
Glutathione metabolism	1/57	0.4082600631903716	0.7060839144483577	0	0	1.9388736263736264	1.7369416790180385	RRM2B
mTOR signaling pathway	2/154	0.4124855990603616	0.7060839144483577	0	0	1.4295580110497237	1.2659507937391368	ATP6V1A;RAF1
Endometrial cancer	1/58	0.41368994847383433	0.7060839144483577	0	0	1.9047619047619047	1.6812161951712776	RAF1
Cushing syndrome	2/155	0.41565912409944206	0.7060839144483577	0	0	1.4201422742209222	1.2467283714239414	ATF2;CREB1
Cellular senescence	2/156	0.4188241237903361	0.7060839144483577	0	0	1.4108488196885987	1.2278676525937184	CCNA2;RAF1
VEGF signaling pathway	1/59	0.4190702780595703	0.7060839144483577	0	0	1.8718264494126564	1.627958619715835	RAF1
Notch signaling pathway	1/59	0.4190702780595703	0.7060839144483577	0	0	1.8718264494126564	1.627958619715835	TLE3
Hepatitis C	2/157	0.4219804881588307	0.7060839144483577	0	0	1.4016752806986277	1.2093601094727995	RAF1;YWHAZ
Long-term depression	1/60	0.4244015017694916	0.7060839144483577	0	0	1.8400074501769417	1.5770249993297933	RAF1
Wnt signaling pathway	2/166	0.4499823424772639	0.7234237802705391	0	0	1.324147688990702	1.0573940797584127	TLE3;SERPINF1
Glycolysis / Gluconeogenesis	1/67	0.4603820430618427	0.7234237802705391	0	0	1.6442723942723942	1.2754598037950773	ADPGK
Long-term potentiation	1/67	0.4603820430618427	0.7234237802705391	0	0	1.6442723942723942	1.2754598037950773	RAF1
Fc epsilon RI signaling pathway	1/68	0.4653361329946268	0.7234237802705391	0	0	1.6196490077087091	1.2390238265268263	RAF1
Renal cell carcinoma	1/69	0.4702449868660257	0.7234237802705391	0	0	1.5957498383968973	1.2039956011043296	RAF1
Renin secretion	1/69	0.4702449868660257	0.7234237802705391	0	0	1.5957498383968973	1.2039956011043296	CREB1
Central carbon metabolism in cancer	1/70	0.4751090155108686	0.7234237802705391	0	0	1.5725433986303552	1.1703040872831896	RAF1
Epithelial cell signaling in Helicobacter pylori infection	1/70	0.4751090155108686	0.7234237802705391	0	0	1.5725433986303552	1.1703040872831896	ATP6V1A
Prolactin signaling pathway	1/70	0.4751090155108686	0.7234237802705391	0	0	1.5725433986303552	1.1703040872831896	RAF1
Herpes simplex virus 1 infection	5/498	0.48041120155512634	0.7234237802705391	0	0	1.1010324315700708	0.8071810479698939	ZNF746;ZNF624;ZNF324;SRSF6;ZNF7
Melanoma	1/72	0.4847042217178477	0.7234237802705391	0	0	1.5280916266831759	1.1066690567952437	RAF1
Non-small cell lung cancer	1/72	0.4847042217178477	0.7234237802705391	0	0	1.5280916266831759	1.1066690567952437	RAF1
Inositol phosphate metabolism	1/73	0.48943620250072084	0.7234237802705391	0	0	1.5067918192918193	1.0766044989585408	PIK3C2A
Tuberculosis	2/180	0.49197850842744806	0.7234237802705391	0	0	1.2191321621453846	0.8647551245522876	CREB1;RAF1
Glioma	1/75	0.49877090022884774	0.7234237802705391	0	0	1.4659192159192158	1.0197057297484733	RAF1
Gastric acid secretion	1/76	0.5033743988036357	0.7234237802705391	0	0	1.4463003663003664	0.9927710220421859	EZR
Pancreatic cancer	1/76	0.5033743988036357	0.7234237802705391	0	0	1.4463003663003664	0.9927710220421859	RAF1
Arrhythmogenic right ventricular cardiomyopathy	1/77	0.5079358457218679	0.7234237802705391	0	0	1.4271978021978022	0.9667839729306457	DSG2
Bacterial invasion of epithelial cells	1/77	0.5079358457218679	0.7234237802705391	0	0	1.4271978021978022	0.9667839729306457	ACTR2
Antigen processing and presentation	1/78	0.5124556229874825	0.7243733618168925	0	0	1.4085914085914086	0.9417013356903275	CREB1
RNA degradation	1/79	0.5169341092070961	0.7252508397830901	0	0	1.3904621020005636	0.9174823200237665	PAN3
B cell receptor signaling pathway	1/81	0.5257687058633581	0.7275867843959091	0	0	1.3555631868131868	0.8714832844063427	RAF1
Chemokine signaling pathway	2/192	0.5263393759459768	0.7275867843959091	0	0	1.1414364640883978	0.732584278767052	ARRB2;RAF1
MicroRNAs in cancer	3/310	0.5416392531537438	0.7432713838898091	0	0	1.0591748099891423	0.649438419303001	RDX;RAF1;EZR
Colorectal cancer	1/86	0.5471584542986907	0.7454042710735787	0	0	1.2755009696186166	0.7691485637565747	RAF1
PD-L1 expression and PD-1 checkpoint pathway in cancer	1/89	0.5595288465436701	0.7513490642357814	0	0	1.2318306693306693	0.7152750364639366	RAF1
Bile secretion	1/90	0.5635771613444891	0.7513490642357814	0	0	1.2179281392764538	0.6984221369071714	ABCC4
Morphine addiction	1/91	0.5675884698604692	0.7513490642357814	0	0	1.2043345543345543	0.6820852896309534	ARRB2
Small cell lung cancer	1/92	0.5715631085548022	0.7513490642357814	0	0	1.191039729501268	0.6662442513336504	LAMC1
GnRH signaling pathway	1/93	0.5755014109040028	0.7513490642357814	0	0	1.17803392259914	0.6508797625654905	RAF1
Rheumatoid arthritis	1/93	0.5755014109040028	0.7513490642357814	0	0	1.17803392259914	0.6508797625654905	ATP6V1A
Human immunodeficiency virus 1 infection	2/212	0.5800471019426114	0.7520610701049031	0	0	1.0316758747697974	0.5618981059850282	AP1B1;RAF1
Circadian entrainment	1/97	0.5908978193237345	0.7553780755811547	0	0	1.1287202380952381	0.5938334549941567	CREB1
Phosphatidylinositol signaling system	1/97	0.5908978193237345	0.7553780755811547	0	0	1.1287202380952381	0.5938334549941567	PIK3C2A
Choline metabolism in cancer	1/98	0.5946593360958027	0.7553780755811547	0	0	1.117027302594313	0.5805934628237425	RAF1
Amoebiasis	1/102	0.6093645335304838	0.7575502044326705	0	0	1.0725709933630725	0.5312858283277548	LAMC1
Pancreatic secretion	1/102	0.6093645335304838	0.7575502044326705	0	0	1.0725709933630725	0.5312858283277548	RAB3D
Protein digestion and absorption	1/103	0.612957158638691	0.7575502044326705	0	0	1.0620017237664297	0.5198076117095829	COL6A1
T cell receptor signaling pathway	1/104	0.6165169216925457	0.7575502044326705	0	0	1.051637682705644	0.5086450813809525	RAF1
C-type lectin receptor signaling pathway	1/104	0.6165169216925457	0.7575502044326705	0	0	1.051637682705644	0.5086450813809525	RAF1
Thermogenesis	2/232	0.6291809106833024	0.7597529400664739	0	0	0.9410040835935624	0.43600148897451513	ATF2;CREB1
Drug metabolism	1/108	0.6304332906934571	0.7597529400664739	0	0	1.0121187223990962	0.4669388805209843	RRM2B
Ribosome biogenesis in eukaryotes	1/108	0.6304332906934571	0.7597529400664739	0	0	1.0121187223990962	0.4669388805209843	REXO5
Toxoplasmosis	1/112	0.6438473004971984	0.7641866101335721	0	0	0.9754479754479755	0.4294835904856113	LAMC1
Serotonergic synapse	1/113	0.6471244375177682	0.7641866101335721	0	0	0.9666895604395604	0.4207194142818702	RAF1
Cholinergic synapse	1/113	0.6471244375177682	0.7641866101335721	0	0	0.9666895604395604	0.4207194142818702	CREB1
Leukocyte transendothelial migration	1/114	0.6503715830924018	0.7641866101335721	0	0	0.9580861616259846	0.412179601498568	EZR
Sphingolipid signaling pathway	1/119	0.6661669077759103	0.7730825843325378	0	0	0.9172564723412181	0.37260336319499415	RAF1
Neurotrophin signaling pathway	1/119	0.6661669077759103	0.7730825843325378	0	0	0.9172564723412181	0.37260336319499415	RAF1
Thyroid hormone signaling pathway	1/121	0.6722844636952335	0.7753955777589197	0	0	0.9018772893772894	0.3581117693374389	RAF1
Osteoclast differentiation	1/127	0.68997615323281	0.7909482732180992	0	0	0.8586691086691086	0.3186505971335103	CREB1
Natural killer cell mediated cytotoxicity	1/131	0.7012395603070521	0.7955863825294218	0	0	0.8320794590025359	0.2953097507732461	RAF1
Vascular smooth muscle contraction	1/133	0.7067176908639013	0.7955863825294218	0	0	0.8193889443889444	0.28442956673419106	RAF1
Oxidative phosphorylation	1/133	0.7067176908639013	0.7955863825294218	0	0	0.8193889443889444	0.28442956673419106	ATP6V1A
Insulin signaling pathway	1/137	0.7173760347751754	0.8004306145633264	0	0	0.7951276664511958	0.26410572555128037	RAF1
Pathways in cancer	4/531	0.7195360311766074	0.8004306145633264	0	0	0.8179534203301072	0.2692282851933322	CCNA2;MECOM;LAMC1;RAF1
Breast cancer	1/147	0.742366362978731	0.8144047127244868	0	0	0.7402905313864218	0.22054173410263253	RAF1
Phospholipase D signaling pathway	1/148	0.7447411519283031	0.8144047127244868	0	0	0.7352171637885924	0.21668214971932143	RAF1
Gastric cancer	1/149	0.7470941692597713	0.8144047127244868	0	0	0.7302123552123552	0.21290366326914573	RAF1
Spliceosome	1/150	0.7494256133049799	0.8144047127244868	0	0	0.7252747252747253	0.20920419973822243	SRSF6
Oxytocin signaling pathway	1/154	0.7585395648988924	0.8172801080938814	0	0	0.706169647346118	0.1951572693794853	RAF1
Non-alcoholic fatty liver disease	1/155	0.760766058066113	0.8172801080938814	0	0	0.7015484515484516	0.19182395970705257	MLXIP
Necroptosis	1/159	0.769469691174572	0.8215582467256471	0	0	0.6836486298511615	0.17915266263718818	RBCK1
JAK-STAT signaling pathway	1/162	0.7757900803905243	0.8215582467256471	0	0	0.6708074534161491	0.1703001088098032	RAF1
Hippo signaling pathway	1/163	0.7778583399849213	0.8215582467256471	0	0	0.6666327499660833	0.16746538219957888	YWHAZ
Hepatocellular carcinoma	1/168	0.7879184396105551	0.8275344505406947	0	0	0.6465091794433112	0.1541023789608957	RAF1
Influenza A	1/172	0.7956392144584542	0.8310009573232744	0	0	0.6312576312576312	0.14431145613635155	RAF1
Axon guidance	1/182	0.8137398540759183	0.8452104561672522	0	0	0.5960779551939773	0.12286034167335853	RAF1
Neutrophil extracellular trap formation	1/189	0.8254525631139109	0.8526652849748092	0	0	0.5736789805938742	0.11004509943679218	RAF1
Transcriptional misregulation in cancer	1/192	0.8302452508753683	0.8529295473473729	0	0	0.564582014843795	0.10503152894483674	CCNA2
Epstein-Barr virus infection	1/202	0.8452952920790121	0.8636712766894254	0	0	0.536219998906566	0.09012209551223363	CCNA2
Lipid and atherosclerosis	1/215	0.8628931705692879	0.8768860327947359	0	0	0.5033121084522953	0.07422061003730623	MIB2
Ras signaling pathway	1/232	0.8829353448711348	0.8924292733106094	0	0	0.46586746586746586	0.05800203834251867	RAF1
Cytokine-cytokine receptor interaction	1/295	0.9349027029349669	0.9399021826298063	0	0	0.36486132914704344	0.024559843565578904	INHBE
Olfactory transduction	1/440	0.9832551566382841	0.9832551566382841	0	0	0.2425342311447095	0.004095584174585425	ARRB2
