Gene Name Source,Gene Name Target,log2FC_PSM,weight,specificity,PSM_risk,PSM_nonrisk,Interaction,in_cad_gwas,in_biogrid,in_cad_eqtl,in_cad_gwas_aragam_2022,in_condition_specific_eqtl,in_condition_specific_sqtl,in_smc_elevated,source_harmonized,target_harmonized,source_primary_category,target_primary_category,specificity_target,in_biogrid_edge,source_for_target
ADAMTS7,HSPA12A,2.321928095,2.321928095,risk-specific,4,0,Interaction,NO,NO,NO,NO,NO,YES,NO,ADAMTS7,HSPA12A,Catalytic/Enzymatic,Nucleotide Binding,risk-specific,NO,ADAMTS7
ADAMTS7,IDE,4.754887502,4.754887502,risk-specific,26,0,Interaction,NO,NO,NO,NO,NO,NO,NO,ADAMTS7,IDE,Catalytic/Enzymatic,Metabolic,risk-specific,NO,ADAMTS7
ADAMTS7,INTS6,0.144389909,0.144389909,shared,6,5.333333333,Interaction,NO,NO,NO,NO,NO,NO,NO,ADAMTS7,INTS6,Catalytic/Enzymatic,Signaling,shared,NO,ADAMTS7
ADAMTS7,INTS6,0.144389909,0.144389909,shared,6,5.333333333,Interaction,NO,NO,NO,NO,NO,NO,NO,ADAMTS7,INTS6,Catalytic/Enzymatic,Signaling,shared,NO,ADAMTS7
ADAMTS7,KRT79,3,3,risk-specific,7,0,Interaction,NO,NO,NO,NO,NO,NO,NO,ADAMTS7,KRT79,Catalytic/Enzymatic,Catalytic/Enzymatic,risk-specific,NO,ADAMTS7
ADAMTS7,LRP1,2.874469118,2.874469118,risk-specific,6.333333333,0,Interaction,YES,NO,NO,NO,NO,NO,NO,ADAMTS7,LRP1,Catalytic/Enzymatic,Signaling,risk-specific,NO,ADAMTS7
ADAMTS7,LTBP4,2.222392421,2.222392421,risk-specific,3.666666667,0,Interaction,NO,NO,NO,NO,NO,YES,NO,ADAMTS7,LTBP4,Catalytic/Enzymatic,Signaling,risk-specific,NO,ADAMTS7
ADAMTS7,MKLN1,3.115477217,3.115477217,risk-specific,7.666666667,0,Interaction,NO,NO,NO,NO,NO,NO,NO,ADAMTS7,MKLN1,Catalytic/Enzymatic,Protein-Protein Interaction,risk-specific,NO,ADAMTS7
ADAMTS7,MTBP,1.874469118,1.874469118,risk-specific,2.666666667,0,Interaction,NO,NO,NO,NO,NO,YES,NO,ADAMTS7,MTBP,Catalytic/Enzymatic,Cell Cycle,risk-specific,NO,ADAMTS7
ADAMTS7,PASK,0.152003093,0.152003093,shared,19,17,Interaction,NO,NO,NO,NO,NO,YES,NO,ADAMTS7,PASK,Catalytic/Enzymatic,Catalytic/Enzymatic,shared,NO,ADAMTS7
ADAMTS7,PASK,0.152003093,0.152003093,shared,19,17,Interaction,NO,NO,NO,NO,NO,YES,NO,ADAMTS7,PASK,Catalytic/Enzymatic,Catalytic/Enzymatic,shared,NO,ADAMTS7
ADAMTS7,RAF1,0,0,shared,17.33333333,17.33333333,Interaction,NO,NO,NO,NO,NO,NO,NO,ADAMTS7,RAF1,Catalytic/Enzymatic,Signaling,shared,NO,ADAMTS7
ADAMTS7,RAF1,0,0,shared,17.33333333,17.33333333,Interaction,NO,NO,NO,NO,NO,NO,NO,ADAMTS7,RAF1,Catalytic/Enzymatic,Signaling,shared,NO,ADAMTS7
ADAMTS7,RAPGEF2,1.584962501,1.584962501,risk-specific,2,0,Interaction,YES,NO,NO,NO,NO,NO,NO,ADAMTS7,RAPGEF2,Catalytic/Enzymatic,Signaling,risk-specific,NO,ADAMTS7
ADAMTS7,TRIM27,2.415037499,2.415037499,risk-specific,4.333333333,0,Interaction,NO,NO,NO,NO,NO,NO,NO,ADAMTS7,TRIM27,Catalytic/Enzymatic,Catalytic/Enzymatic,risk-specific,NO,ADAMTS7
ADAMTS7,TTC19,2.584962501,2.584962501,risk-specific,5,0,Interaction,NO,NO,NO,NO,NO,NO,NO,ADAMTS7,TTC19,Catalytic/Enzymatic,Cell Cycle,risk-specific,NO,ADAMTS7
ADAMTS7,TUBB4A,4.807354922,4.807354922,risk-specific,27,0,Interaction,NO,NO,NO,NO,NO,NO,NO,ADAMTS7,TUBB4A,Catalytic/Enzymatic,Structural,risk-specific,NO,ADAMTS7
ADAMTS7,USP4,2.502500341,2.502500341,risk-specific,4.666666667,0,Interaction,NO,NO,NO,NO,NO,NO,NO,ADAMTS7,USP4,Catalytic/Enzymatic,Ubiquitin/Degradation,risk-specific,NO,ADAMTS7
ADAMTS7,VPS13B,1.584962501,1.584962501,risk-specific,2,0,Interaction,NO,NO,NO,NO,NO,YES,NO,ADAMTS7,VPS13B,Catalytic/Enzymatic,Differentiation/Development,risk-specific,NO,ADAMTS7
ADAMTS7,ZER1,2.415037499,2.415037499,risk-specific,4.333333333,0,Interaction,NO,NO,NO,NO,NO,NO,NO,ADAMTS7,ZER1,Catalytic/Enzymatic,Catalytic/Enzymatic,risk-specific,NO,ADAMTS7
ADAMTS7,ZFHX4,3.584962501,3.584962501,risk-specific,11,0,Interaction,NO,NO,NO,NO,NO,NO,NO,ADAMTS7,ZFHX4,Catalytic/Enzymatic,Nucleic Acid Binding,risk-specific,NO,ADAMTS7
ADAMTS7,ZNF121,1.874469118,1.874469118,risk-specific,2.666666667,0,Interaction,NO,NO,NO,NO,NO,NO,NO,ADAMTS7,ZNF121,Catalytic/Enzymatic,Nucleic Acid Binding,risk-specific,NO,ADAMTS7
ADAMTS7,ZNF324,1.584962501,1.584962501,risk-specific,2,0,Interaction,NO,NO,NO,NO,NO,NO,NO,ADAMTS7,ZNF324,Catalytic/Enzymatic,Nucleic Acid Binding,risk-specific,NO,ADAMTS7
ADAMTS7,ZNF407,2,2,risk-specific,3,0,Interaction,NO,NO,NO,NO,NO,NO,NO,ADAMTS7,ZNF407,Catalytic/Enzymatic,Ion Binding,risk-specific,NO,ADAMTS7
ADAMTS7,ZNF511,1.874469118,1.874469118,risk-specific,2.666666667,0,Interaction,NO,NO,NO,NO,NO,NO,NO,ADAMTS7,ZNF511,Catalytic/Enzymatic,Ion Binding,risk-specific,NO,ADAMTS7
ADAMTS7,ZNF574,3.662965013,3.662965013,risk-specific,11.66666667,0,Interaction,NO,NO,NO,NO,NO,NO,NO,ADAMTS7,ZNF574,Catalytic/Enzymatic,Ion Binding,risk-specific,NO,ADAMTS7
ADAMTS7,ZNF624,2.415037499,2.415037499,risk-specific,4.333333333,0,Interaction,NO,NO,NO,NO,NO,NO,NO,ADAMTS7,ZNF624,Catalytic/Enzymatic,Nucleic Acid Binding,risk-specific,NO,ADAMTS7
ADAMTS7,ZNF7,2,2,risk-specific,3,0,Interaction,NO,NO,NO,NO,NO,NO,NO,ADAMTS7,ZNF7,Catalytic/Enzymatic,Nucleic Acid Binding,risk-specific,NO,ADAMTS7
ADAMTS7,ADAMTS1,-1.736965594,1.736965594,nonrisk-specific,0,2.333333333,Interaction,NO,YES,NO,NO,NO,NO,NO,ADAMTS7,ADAMTS1,Catalytic/Enzymatic,Catalytic/Enzymatic,nonrisk-specific,YES,ADAMTS7
ADAMTS7,ASDURF,-2.222392421,2.222392421,nonrisk-specific,0,3.666666667,Interaction,NO,NO,NO,NO,NO,NO,NO,ADAMTS7,ASDURF,Catalytic/Enzymatic,Other,nonrisk-specific,NO,ADAMTS7
ADAMTS7,ATP5F1C,-4.029747343,4.029747343,nonrisk-specific,0,15.33333333,Interaction,NO,NO,NO,NO,NO,NO,NO,ADAMTS7,ATP5F1C,Catalytic/Enzymatic,Membrane/Transmembrane,nonrisk-specific,NO,ADAMTS7
ADAMTS7,CC2D2A,-1.736965594,1.736965594,nonrisk-specific,0,2.333333333,Interaction,NO,NO,NO,NO,NO,YES,NO,ADAMTS7,CC2D2A,Catalytic/Enzymatic,Differentiation/Development,nonrisk-specific,NO,ADAMTS7
ADAMTS7,CEP170,-5.156504486,5.156504486,nonrisk-specific,0,34.66666667,Interaction,NO,NO,NO,NO,NO,YES,NO,ADAMTS7,CEP170,Catalytic/Enzymatic,Membrane/Transmembrane,nonrisk-specific,NO,ADAMTS7
ADAMTS7,CHRNA5,-1.584962501,1.584962501,nonrisk-specific,0,2,Interaction,NO,NO,NO,NO,NO,YES,NO,ADAMTS7,CHRNA5,Catalytic/Enzymatic,Membrane/Transmembrane,nonrisk-specific,NO,ADAMTS7
ADAMTS7,CLGN,-3.807354922,3.807354922,nonrisk-specific,0,13,Interaction,NO,NO,NO,NO,NO,NO,NO,ADAMTS7,CLGN,Catalytic/Enzymatic,Membrane/Transmembrane,nonrisk-specific,NO,ADAMTS7
ADAMTS7,COCH,-2.584962501,2.584962501,nonrisk-specific,0,5,Interaction,NO,NO,NO,NO,NO,NO,NO,ADAMTS7,COCH,Catalytic/Enzymatic,Structural,nonrisk-specific,NO,ADAMTS7
ADAMTS7,CPS1,-4.2730184939999996,4.2730184939999996,nonrisk-specific,0,18.33333333,Interaction,YES,NO,NO,NO,NO,NO,NO,ADAMTS7,CPS1,Catalytic/Enzymatic,Metabolic,nonrisk-specific,NO,ADAMTS7
ADAMTS7,DNAJC3,-2.938599455,2.938599455,nonrisk-specific,0,6.666666667,Interaction,NO,NO,NO,NO,NO,NO,NO,ADAMTS7,DNAJC3,Catalytic/Enzymatic,Vesicle/Transport,nonrisk-specific,NO,ADAMTS7
ADAMTS7,EHMT2,-3.415037499,3.415037499,nonrisk-specific,0,9.666666667,Interaction,NO,NO,NO,NO,NO,NO,NO,ADAMTS7,EHMT2,Catalytic/Enzymatic,Catalytic/Enzymatic,nonrisk-specific,NO,ADAMTS7
ADAMTS7,FBXO11,-2.874469118,2.874469118,nonrisk-specific,0,6.333333333,Interaction,NO,NO,NO,NO,NO,NO,NO,ADAMTS7,FBXO11,Catalytic/Enzymatic,Catalytic/Enzymatic,nonrisk-specific,NO,ADAMTS7
ADAMTS7,FBXO6,-2.502500341,2.502500341,nonrisk-specific,0,4.666666667,Interaction,NO,YES,NO,NO,NO,NO,NO,ADAMTS7,FBXO6,Catalytic/Enzymatic,DNA Repair,nonrisk-specific,YES,ADAMTS7
ADAMTS7,GMPPB,-1.736965594,1.736965594,nonrisk-specific,0,2.333333333,Interaction,NO,NO,NO,NO,NO,NO,NO,ADAMTS7,GMPPB,Catalytic/Enzymatic,Metabolic,nonrisk-specific,NO,ADAMTS7
ADAMTS7,HYOU1,-4.984893108,4.984893108,nonrisk-specific,0,30.66666667,Interaction,NO,NO,NO,NO,NO,NO,NO,ADAMTS7,HYOU1,Catalytic/Enzymatic,Vesicle/Transport,nonrisk-specific,NO,ADAMTS7
ADAMTS7,IGF1R,-2.321928095,2.321928095,nonrisk-specific,0,4,Interaction,NO,NO,NO,NO,NO,NO,NO,ADAMTS7,IGF1R,Catalytic/Enzymatic,Catalytic/Enzymatic,nonrisk-specific,NO,ADAMTS7
ADAMTS7,IL17RA,-3.321928095,3.321928095,nonrisk-specific,0,9,Interaction,NO,NO,NO,NO,NO,NO,NO,ADAMTS7,IL17RA,Catalytic/Enzymatic,Immune Response,nonrisk-specific,NO,ADAMTS7
ADAMTS7,KCMF1,-3.415037499,3.415037499,nonrisk-specific,0,9.666666667,Interaction,NO,NO,NO,NO,NO,NO,NO,ADAMTS7,KCMF1,Catalytic/Enzymatic,Ubiquitin/Degradation,nonrisk-specific,NO,ADAMTS7
ADAMTS7,MADD,-3.36923381,3.36923381,nonrisk-specific,0,9.333333333,Interaction,NO,NO,NO,NO,NO,YES,NO,ADAMTS7,MADD,Catalytic/Enzymatic,Signaling,nonrisk-specific,NO,ADAMTS7
ADAMTS7,MMUT,-1.584962501,1.584962501,nonrisk-specific,0,2,Interaction,NO,NO,NO,NO,YES,NO,NO,ADAMTS7,MMUT,Catalytic/Enzymatic,Metabolic,nonrisk-specific,NO,ADAMTS7
ADAMTS7,MTCL1,-1.874469118,1.874469118,nonrisk-specific,0,2.666666667,Interaction,NO,NO,NO,NO,NO,YES,NO,ADAMTS7,MTCL1,Catalytic/Enzymatic,Membrane/Transmembrane,nonrisk-specific,NO,ADAMTS7
ADAMTS7,OS9,-3.736965594,3.736965594,nonrisk-specific,0,12.33333333,Interaction,NO,NO,NO,NO,NO,YES,NO,ADAMTS7,OS9,Catalytic/Enzymatic,Vesicle/Transport,nonrisk-specific,NO,ADAMTS7
ADAMTS7,P3H4,-2.415037499,2.415037499,nonrisk-specific,0,4.333333333,Interaction,NO,NO,NO,NO,NO,YES,NO,ADAMTS7,P3H4,Catalytic/Enzymatic,Structural,nonrisk-specific,NO,ADAMTS7
ADAMTS7,P4HA2,-2,2,nonrisk-specific,0,3,Interaction,YES,NO,NO,NO,NO,YES,NO,ADAMTS7,P4HA2,Catalytic/Enzymatic,Catalytic/Enzymatic,nonrisk-specific,NO,ADAMTS7
ADAMTS7,PIGK,-2.115477217,2.115477217,nonrisk-specific,0,3.333333333,Interaction,NO,NO,NO,NO,NO,NO,NO,ADAMTS7,PIGK,Catalytic/Enzymatic,Catalytic/Enzymatic,nonrisk-specific,NO,ADAMTS7
ADAMTS7,PLOD2,-3.544320516,3.544320516,nonrisk-specific,0,10.66666667,Interaction,NO,NO,NO,NO,NO,NO,NO,ADAMTS7,PLOD2,Catalytic/Enzymatic,Membrane/Transmembrane,nonrisk-specific,NO,ADAMTS7
ADAMTS7,POLR2D,-2.222392421,2.222392421,nonrisk-specific,0,3.666666667,Interaction,NO,NO,NO,NO,NO,NO,NO,ADAMTS7,POLR2D,Catalytic/Enzymatic,Signaling,nonrisk-specific,NO,ADAMTS7
ADAMTS7,PRDM10,-2.115477217,2.115477217,nonrisk-specific,0,3.333333333,Interaction,NO,NO,NO,NO,NO,NO,NO,ADAMTS7,PRDM10,Catalytic/Enzymatic,Nucleic Acid Binding,nonrisk-specific,NO,ADAMTS7
ADAMTS7,R3HDM2,-1.736965594,1.736965594,nonrisk-specific,0,2.333333333,Interaction,YES,NO,NO,NO,NO,NO,NO,ADAMTS7,R3HDM2,Catalytic/Enzymatic,Nucleic Acid Binding,nonrisk-specific,NO,ADAMTS7
ADAMTS7,SDF2,-3.058893689,3.058893689,nonrisk-specific,0,7.333333333,Interaction,NO,NO,NO,NO,NO,NO,NO,ADAMTS7,SDF2,Catalytic/Enzymatic,Protein-Protein Interaction,nonrisk-specific,NO,ADAMTS7
ADAMTS7,STC2,-2.222392421,2.222392421,nonrisk-specific,0,3.666666667,Interaction,NO,NO,NO,NO,NO,NO,NO,ADAMTS7,STC2,Catalytic/Enzymatic,Vesicle/Transport,nonrisk-specific,NO,ADAMTS7
ADAMTS7,TAB3,-1.874469118,1.874469118,nonrisk-specific,0,2.666666667,Interaction,NO,NO,NO,NO,NO,NO,NO,ADAMTS7,TAB3,Catalytic/Enzymatic,Signaling,nonrisk-specific,NO,ADAMTS7
ADAMTS7,TOR1B,-1.584962501,1.584962501,nonrisk-specific,0,2,Interaction,NO,NO,NO,NO,NO,NO,NO,ADAMTS7,TOR1B,Catalytic/Enzymatic,Membrane/Transmembrane,nonrisk-specific,NO,ADAMTS7
ADAMTS7,TOR3A,-2.415037499,2.415037499,nonrisk-specific,0,4.333333333,Interaction,NO,NO,NO,NO,NO,NO,NO,ADAMTS7,TOR3A,Catalytic/Enzymatic,Nucleotide Binding,nonrisk-specific,NO,ADAMTS7
ADAMTS7,URI1,-2.700439718,2.700439718,nonrisk-specific,0,5.5,Interaction,NO,NO,NO,NO,NO,NO,NO,ADAMTS7,URI1,Catalytic/Enzymatic,Signaling,nonrisk-specific,NO,ADAMTS7
COA8,AKAP10,1.736965594,1.736965594,risk-specific,2.333333333,0,Interaction,NO,NO,NO,NO,NO,NO,NO,COA8,AKAP10,Membrane/Transmembrane,Catalytic/Enzymatic,risk-specific,NO,COA8
COA8,ATP6V1A,2,2,risk-specific,3,0,Interaction,NO,NO,NO,NO,NO,YES,NO,COA8,ATP6V1A,Membrane/Transmembrane,Vesicle/Transport,risk-specific,NO,COA8
COA8,CEP192,3.222392421,3.222392421,risk-specific,8.333333333,0,Interaction,NO,NO,NO,NO,NO,NO,NO,COA8,CEP192,Membrane/Transmembrane,Oxidative Stress,risk-specific,NO,COA8
COA8,CEP295,2.415037499,2.415037499,risk-specific,4.333333333,0,Interaction,NO,NO,NO,NO,NO,NO,NO,COA8,CEP295,Membrane/Transmembrane,Oxidative Stress,risk-specific,NO,COA8
COA8,CPS1,4.297680549,4.297680549,risk-specific,18.66666667,0,Interaction,YES,NO,NO,NO,NO,NO,NO,COA8,CPS1,Membrane/Transmembrane,Metabolic,risk-specific,NO,COA8
COA8,EML3,2.115477217,2.115477217,risk-specific,3.333333333,0,Interaction,NO,NO,NO,NO,NO,NO,NO,COA8,EML3,Membrane/Transmembrane,Structural,risk-specific,NO,COA8
COA8,FARP2,1.736965594,1.736965594,risk-specific,2.333333333,0,Interaction,NO,NO,NO,NO,YES,YES,NO,COA8,FARP2,Membrane/Transmembrane,Structural,risk-specific,NO,COA8
COA8,FOXRED2,2.115477217,2.115477217,risk-specific,3.333333333,0,Interaction,NO,NO,NO,NO,NO,NO,NO,COA8,FOXRED2,Membrane/Transmembrane,Vesicle/Transport,risk-specific,NO,COA8
COA8,GARRE1,2.874469118,2.874469118,risk-specific,6.333333333,0,Interaction,NO,NO,NO,NO,NO,NO,NO,COA8,GARRE1,Membrane/Transmembrane,Protein-Protein Interaction,risk-specific,NO,COA8
COA8,HELZ,3.169925001,3.169925001,risk-specific,8,0,Interaction,NO,NO,NO,NO,NO,NO,NO,COA8,HELZ,Membrane/Transmembrane,Ion Binding,risk-specific,NO,COA8
COA8,HSPE1,0.378511623,0.378511623,shared,3.333333333,2.333333333,Interaction,NO,NO,NO,NO,NO,NO,NO,COA8,HSPE1,Membrane/Transmembrane,Protein Folding/Chaperone,shared,NO,COA8
COA8,HSPE1,0.378511623,0.378511623,shared,3.333333333,2.333333333,Interaction,NO,NO,NO,NO,NO,NO,NO,COA8,HSPE1,Membrane/Transmembrane,Protein Folding/Chaperone,shared,NO,COA8
COA8,KDM5C,2.874469118,2.874469118,risk-specific,6.333333333,0,Interaction,NO,NO,NO,NO,NO,NO,NO,COA8,KDM5C,Membrane/Transmembrane,Nucleic Acid Binding,risk-specific,NO,COA8
COA8,KLC1,3.969626351,3.969626351,risk-specific,14.66666667,0,Interaction,NO,NO,NO,NO,NO,NO,NO,COA8,KLC1,Membrane/Transmembrane,Structural,risk-specific,NO,COA8
COA8,LONP1,2.502500341,2.502500341,risk-specific,4.666666667,0,Interaction,NO,NO,NO,NO,NO,NO,NO,COA8,LONP1,Membrane/Transmembrane,Catalytic/Enzymatic,risk-specific,NO,COA8
COA8,LZTS2,2.222392421,2.222392421,risk-specific,3.666666667,0,Interaction,NO,NO,NO,NO,NO,NO,NO,COA8,LZTS2,Membrane/Transmembrane,Signaling,risk-specific,NO,COA8
COA8,MAP3K6,1.584962501,1.584962501,risk-specific,2,0,Interaction,NO,NO,NO,NO,NO,YES,NO,COA8,MAP3K6,Membrane/Transmembrane,Catalytic/Enzymatic,risk-specific,NO,COA8
COA8,MECOM,2.115477217,2.115477217,risk-specific,3.333333333,0,Interaction,YES,NO,NO,YES,NO,YES,NO,COA8,MECOM,Membrane/Transmembrane,Catalytic/Enzymatic,risk-specific,NO,COA8
COA8,MIB2,2.222392421,2.222392421,risk-specific,3.666666667,0,Interaction,NO,NO,NO,NO,NO,NO,NO,COA8,MIB2,Membrane/Transmembrane,Catalytic/Enzymatic,risk-specific,NO,COA8
COA8,MIS18BP1,1.584962501,1.584962501,risk-specific,2,0,Interaction,NO,NO,NO,NO,NO,YES,NO,COA8,MIS18BP1,Membrane/Transmembrane,Nucleic Acid Binding,risk-specific,NO,COA8
COA8,MYO9A,3.415037499,3.415037499,risk-specific,9.666666667,0,Interaction,NO,NO,NO,NO,NO,NO,NO,COA8,MYO9A,Membrane/Transmembrane,Signaling,risk-specific,NO,COA8
COA8,NEK4,1.736965594,1.736965594,risk-specific,2.333333333,0,Interaction,NO,NO,NO,NO,NO,NO,NO,COA8,NEK4,Membrane/Transmembrane,Catalytic/Enzymatic,risk-specific,NO,COA8
COA8,NYNRIN,3.624490865,3.624490865,risk-specific,11.33333333,0,Interaction,NO,NO,NO,NO,NO,NO,NO,COA8,NYNRIN,Membrane/Transmembrane,Nucleic Acid Binding,risk-specific,NO,COA8
COA8,PAN3,1.874469118,1.874469118,risk-specific,2.666666667,0,Interaction,NO,NO,NO,NO,NO,NO,NO,COA8,PAN3,Membrane/Transmembrane,Ion Binding,risk-specific,NO,COA8
COA8,PFAS,2.169925001,2.169925001,risk-specific,3.5,0,Interaction,NO,NO,NO,NO,NO,YES,NO,COA8,PFAS,Membrane/Transmembrane,Metabolic,risk-specific,NO,COA8
COA8,PIK3C2A,3.169925001,3.169925001,risk-specific,8,0,Interaction,NO,NO,NO,NO,NO,NO,NO,COA8,PIK3C2A,Membrane/Transmembrane,Vesicle/Transport,risk-specific,NO,COA8
COA8,PMPCA,-0.547487795,0.547487795,shared,3.333333333,5.333333333,Interaction,NO,NO,NO,NO,NO,NO,NO,COA8,PMPCA,Membrane/Transmembrane,Mitochondrial,shared,NO,COA8
COA8,PMPCA,-0.547487795,0.547487795,shared,3.333333333,5.333333333,Interaction,NO,NO,NO,NO,NO,NO,NO,COA8,PMPCA,Membrane/Transmembrane,Mitochondrial,shared,NO,COA8
COA8,PMPCB,-0.473931188,0.473931188,shared,5,7.333333333,Interaction,NO,NO,NO,NO,YES,NO,NO,COA8,PMPCB,Membrane/Transmembrane,Catalytic/Enzymatic,shared,NO,COA8
COA8,PMPCB,-0.473931188,0.473931188,shared,5,7.333333333,Interaction,NO,NO,NO,NO,YES,NO,NO,COA8,PMPCB,Membrane/Transmembrane,Catalytic/Enzymatic,shared,NO,COA8
COA8,PRKAG2,-0.652076697,0.652076697,shared,8.333333333,13.66666667,Interaction,NO,NO,NO,NO,NO,YES,NO,COA8,PRKAG2,Membrane/Transmembrane,Catalytic/Enzymatic,shared,NO,COA8
COA8,PRKAG2,-0.652076697,0.652076697,shared,8.333333333,13.66666667,Interaction,NO,NO,NO,NO,NO,YES,NO,COA8,PRKAG2,Membrane/Transmembrane,Catalytic/Enzymatic,shared,NO,COA8
COA8,PSD3,2.807354922,2.807354922,risk-specific,6,0,Interaction,YES,NO,NO,NO,NO,YES,NO,COA8,PSD3,Membrane/Transmembrane,Membrane/Transmembrane,risk-specific,NO,COA8
COA8,RAF1,3.772589504,3.772589504,risk-specific,12.66666667,0,Interaction,NO,NO,NO,NO,NO,NO,NO,COA8,RAF1,Membrane/Transmembrane,Signaling,risk-specific,NO,COA8
COA8,RBCK1,2.222392421,2.222392421,risk-specific,3.666666667,0,Interaction,NO,NO,NO,NO,NO,NO,NO,COA8,RBCK1,Membrane/Transmembrane,Signaling,risk-specific,NO,COA8
COA8,SALL1,2.222392421,2.222392421,risk-specific,3.666666667,0,Interaction,NO,NO,NO,NO,NO,NO,NO,COA8,SALL1,Membrane/Transmembrane,Differentiation/Development,risk-specific,NO,COA8
COA8,SIPA1L2,3.772589504,3.772589504,risk-specific,12.66666667,0,Interaction,NO,NO,NO,NO,NO,YES,NO,COA8,SIPA1L2,Membrane/Transmembrane,Signaling,risk-specific,NO,COA8
COA8,SNAP47,3.459431619,3.459431619,risk-specific,10,0,Interaction,NO,NO,NO,NO,NO,NO,NO,COA8,SNAP47,Membrane/Transmembrane,Membrane/Transmembrane,risk-specific,NO,COA8
COA8,TATDN2,1.736965594,1.736965594,risk-specific,2.333333333,0,Interaction,NO,NO,NO,NO,NO,NO,NO,COA8,TATDN2,Membrane/Transmembrane,Catalytic/Enzymatic,risk-specific,NO,COA8
COA8,TSC22D3,2.115477217,2.115477217,risk-specific,3.333333333,0,Interaction,NO,NO,NO,NO,NO,NO,NO,COA8,TSC22D3,Membrane/Transmembrane,Protein-Protein Interaction,risk-specific,NO,COA8
COA8,YWHAZ,3.736965594,3.736965594,risk-specific,12.33333333,0,Interaction,NO,NO,NO,NO,NO,NO,NO,COA8,YWHAZ,Membrane/Transmembrane,Catalytic/Enzymatic,risk-specific,NO,COA8
COA8,ZNF131,3.321928095,3.321928095,risk-specific,9,0,Interaction,NO,NO,NO,NO,NO,NO,NO,COA8,ZNF131,Membrane/Transmembrane,Signaling,risk-specific,NO,COA8
COA8,ZNF423,1.874469118,1.874469118,risk-specific,2.666666667,0,Interaction,NO,NO,NO,NO,NO,NO,NO,COA8,ZNF423,Membrane/Transmembrane,Differentiation/Development,risk-specific,NO,COA8
COA8,ZNF462,3,3,risk-specific,7,0,Interaction,NO,NO,NO,NO,NO,NO,NO,COA8,ZNF462,Membrane/Transmembrane,Ion Binding,risk-specific,NO,COA8
COA8,ZNF521,2.321928095,2.321928095,risk-specific,4,0,Interaction,NO,NO,NO,NO,NO,NO,NO,COA8,ZNF521,Membrane/Transmembrane,Ion Binding,risk-specific,NO,COA8
COA8,ZNF746,2.415037499,2.415037499,risk-specific,4.333333333,0,Interaction,NO,NO,NO,NO,NO,NO,NO,COA8,ZNF746,Membrane/Transmembrane,Nucleic Acid Binding,risk-specific,NO,COA8
