Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Positive Regulation of Proteasomal Protein Catabolic Process (GO:1901800)	5/98	0.0020754202502139417	0.13243642772211783	0	0	5.957472514195965	36.80283225375939	SH3RF3;ZYG11B;ZER1;RAD23A;GABARAP
Establishment of Endothelial Barrier (GO:0061028)	3/28	0.002086103932364486	0.13243642772211783	0	0	13.194666666666667	81.44351394727178	RDX;RAPGEF2;EZR
Regulation of Transcription by RNA Polymerase II (GO:0006357)	34/2250	0.0022323579574674065	0.13243642772211783	0	0	1.8124257989484651	11.064310105776494	ZNF131;NFIX;AKAP8L;SGF29;DCAF6;ZNF7;SALL1;MECOM;ZNF407;ZNF746;ZNF624;TRIM27;ZNF324;ZNF521;MLXIP;TBX1;ZNF121;ACTR2;ZNF462;ZNF142;ZBTB38;MBD1;PBX2;ZFHX4;YWHAZ;SCAF1;THAP3;CREB1;FIZ1;ZSCAN25;PKN1;EZR;ZNF213;ZNF574
Positive Regulation of Early Endosome to Late Endosome Transport (GO:2000643)	2/8	0.002248496226181967	0.13243642772211783	0	0	36.484346224677715	222.46306870429467	RDX;EZR
Regulation of Centriole Elongation (GO:1903722)	2/8	0.002248496226181967	0.13243642772211783	0	0	36.484346224677715	222.46306870429467	CEP295;POC1B
Sequestering of Extracellular Ligand From Receptor (GO:0035581)	2/9	0.002873559694408364	0.14019731415465303	0	0	31.2707182320442	183.0026131306382	FBN2;FBN1
Embryonic Eye Morphogenesis (GO:0048048)	2/9	0.002873559694408364	0.14019731415465303	0	0	31.2707182320442	183.0026131306382	FBN2;FBN1
Insulin Metabolic Process (GO:1901142)	2/9	0.002873559694408364	0.14019731415465303	0	0	31.2707182320442	183.0026131306382	ERO1B;IDE
Protein Catabolic Process (GO:0030163)	5/107	0.0030420544724098736	0.14019731415465303	0	0	5.429334655210399	31.46420060853821	GLB1;RAB12;LONP1;IDE;CTSC
Regulation of Proteasomal Ubiquitin-Dependent Protein Catabolic Process (GO:0032434)	5/109	0.003294622515909584	0.14019731415465303	0	0	5.324384183232498	30.43132441916857	SH3RF3;ZYG11B;ZER1;RAD23A;GABARAP
Cellular Response to Nitrogen Levels (GO:0043562)	2/10	0.0035703900039385323	0.14019731415465303	0	0	27.36049723756906	154.1786029312998	GABARAPL2;GABARAP
Cellular Response to Nitrogen Starvation (GO:0006995)	2/10	0.0035703900039385323	0.14019731415465303	0	0	27.36049723756906	154.1786029312998	GABARAPL2;GABARAP
Positive Regulation of Centriole Replication (GO:0046601)	2/10	0.0035703900039385323	0.14019731415465303	0	0	27.36049723756906	154.1786029312998	CEP295;POC1B
Establishment of Epithelial Cell Apical/Basal Polarity (GO:0045198)	2/10	0.0035703900039385323	0.14019731415465303	0	0	27.36049723756906	154.1786029312998	EZR;MYO9A
Mesenchymal to Epithelial Transition (GO:0060231)	2/10	0.0035703900039385323	0.14019731415465303	0	0	27.36049723756906	154.1786029312998	SALL1;DSG2
Golgi Inheritance (GO:0048313)	2/11	0.004337636036469348	0.16483016938583522	0	0	24.319214241866174	132.30687989985157	VPS13B;YWHAZ
Regulation of Cellular Component Biogenesis (GO:0044087)	3/37	0.004658700811866256	0.1693036373609249	0	0	9.697549019607843	52.06632169541213	RDX;RAPGEF2;EZR
Positive Regulation of Cell Cycle Process (GO:0090068)	5/119	0.004788320980211121	0.1693036373609249	0	0	4.854868913857678	25.932648627795434	RRM2B;DDX11;CEP295;NCAPG2;AURKA
Gland Development (GO:0048732)	4/75	0.004974034554742151	0.1693036373609249	0	0	6.2148084034935875	32.960385439752216	TBX1;SALL1;NRG1;EZR
Forebrain Neuron Differentiation (GO:0021879)	2/12	0.005173965148551186	0.1693036373609249	0	0	21.886187845303866	115.21143010799464	SALL1;RAPGEF2
Protein Kinase A Signaling (GO:0010737)	2/12	0.005173965148551186	0.1693036373609249	0	0	21.886187845303866	115.21143010799464	RDX;FBN1
Regulation of Protein Binding (GO:0043393)	4/78	0.005715378300377674	0.18196528750932164	0	0	5.961950777593236	30.791059922014202	DDX11;RAPGEF2;IDE;AURKA
Microvillus Organization (GO:0032528)	2/13	0.006078062951842133	0.1820569466899433	0	0	19.895529884480162	101.52826631258242	MINK1;RAPGEF2
Mitochondrial DNA Metabolic Process (GO:0032042)	2/13	0.006078062951842133	0.1820569466899433	0	0	19.895529884480162	101.52826631258242	RRM2B;LONP1
Phosphorylation (GO:0016310)	8/298	0.006275006533851862	0.1820569466899433	0	0	3.0781477832512314	15.60984379243149	CREB1;NEK4;MINK1;LONP1;PKN1;MAP3K6;YWHAZ;AURKA
Positive Regulation of DNA-templated Transcription (GO:0045893)	21/1274	0.0064576521466683905	0.1820569466899433	0	0	1.920546244568591	9.68433421879898	MLXIP;TBX1;ACTR2;ZNF462;NFIX;NEK4;ZBTB38;KMT2B;AKAP8L;PBX2;SGF29;DCAF6;THAP3;SALL1;CREB1;MECOM;KANSL2;ZNF407;ZNF746;FIZ1;ZNF423
Positive Regulation of Catabolic Process (GO:0009896)	6/183	0.006848557389441728	0.1820569466899433	0	0	3.761371253471225	18.745610795699992	RDX;ZC3HAV1;IDE;EZR;PIK3C2A;SORL1
Polarized Epithelial Cell Differentiation (GO:0030859)	2/14	0.0070486330942827104	0.1820569466899433	0	0	18.236648250460405	90.36116174956675	EZR;MYO9A
Positive Regulation of Cardiac Muscle Cell Proliferation (GO:0060045)	2/14	0.0070486330942827104	0.1820569466899433	0	0	18.236648250460405	90.36116174956675	LONP1;NRG1
Establishment of Apical/Basal Cell Polarity (GO:0035089)	2/14	0.0070486330942827104	0.1820569466899433	0	0	18.236648250460405	90.36116174956675	EZR;MYO9A
Cell Cycle G2/M Phase Transition (GO:0044839)	3/43	0.007109184675498635	0.1820569466899433	0	0	8.240416666666667	40.76013095541275	CCNA2;AKAP8L;AURKA
Protein Localization to Plasma Membrane (GO:0072659)	5/132	0.007378060462577334	0.18492245159395954	0	0	4.35503848535787	21.379948665592746	RDX;MAP7;RAPGEF2;EZR;CLASP2
Embryonic Organ Morphogenesis (GO:0048562)	3/44	0.007578747486676869	0.1859950945688615	0	0	8.039024390243902	39.24979162671009	FBN2;TBX1;FBN1
Golgi to Endosome Transport (GO:0006895)	2/15	0.008084397044229065	0.19435550445105795	0	0	16.832979175520613	81.09825305633304	DOP1B;AP2A1
Protein Localization to Cell Periphery (GO:1990778)	5/136	0.008339648348380966	0.19648211508785557	0	0	4.221202504502959	20.205774511468054	RDX;MAP7;RAPGEF2;EZR;CLASP2
Macromolecule Catabolic Process (GO:0009057)	3/46	0.008571791540360469	0.19799157714793397	0	0	7.664341085271317	36.47673389966466	RAB12;LONP1;IDE
Mitotic Nuclear Division (GO:0140014)	3/47	0.00909556182117756	0.20604945817975318	0	0	7.489772727272728	35.201697361242424	NCAPG2;ZWINT;CLASP2
Post-Translational Protein Modification (GO:0043687)	3/48	0.009637675849374097	0.21421098397288088	0	0	7.322962962962963	33.99374544844842	CCNA2;ZC3HAV1;PKN1
Regulation of Cell Adhesion (GO:0030155)	5/142	0.009939895773107376	0.2168369855688979	0	0	4.035102107766751	18.60665777113083	MINK1;FBLN1;NRG1;DSG2;LAMC1
Platelet-Derived Growth Factor Receptor Signaling Pathway (GO:0048008)	2/17	0.010346480053746943	0.21764559827346247	0	0	14.587108655616943	66.67926232553708	PIK3C2A;CLASP2
Positive Regulation of Cardiac Muscle Tissue Growth (GO:0055023)	2/17	0.010346480053746943	0.21764559827346247	0	0	14.587108655616943	66.67926232553708	LONP1;NRG1
Regulation of Early Endosome to Late Endosome Transport (GO:2000641)	2/18	0.011570329235268738	0.22344012851059958	0	0	13.674723756906078	60.97984993065522	RDX;EZR
Rac Protein Signal Transduction (GO:0016601)	2/18	0.011570329235268738	0.22344012851059958	0	0	13.674723756906078	60.97984993065522	FARP2;GARRE1
Nucleotide Biosynthetic Process (GO:0009165)	2/18	0.011570329235268738	0.22344012851059958	0	0	13.674723756906078	60.97984993065522	RRM2B;PFAS
Establishment of Epithelial Cell Polarity (GO:0090162)	2/18	0.011570329235268738	0.22344012851059958	0	0	13.674723756906078	60.97984993065522	EZR;MYO9A
Positive Regulation of Muscle Cell Differentiation (GO:0051149)	2/18	0.011570329235268738	0.22344012851059958	0	0	13.674723756906078	60.97984993065522	NRG1;LAMC1
Negative Regulation of Protein Ubiquitination (GO:0031397)	3/52	0.011991909649764737	0.22784628334553	0	0	6.723809523809524	29.742926428647866	USP4;NXN;ARRB2
Positive Regulation of Protein Modification Process (GO:0031401)	4/98	0.012578344188189764	0.22885895873766327	0	0	4.688696065612742	20.51669618213269	TBX1;CEP295;PKN1;REPS1
Regulation of Microtubule Polymerization (GO:0031113)	3/53	0.01262742743098911	0.22885895873766327	0	0	6.589	28.806344009014953	PKN1;TUBB4A;CLASP2
Protein Localization to Microtubule Organizing Center (GO:1905508)	2/19	0.012854432052084344	0.22885895873766327	0	0	12.86967825804355	56.035436517741694	CEP131;CEP192
Cytosolic Transport (GO:0016482)	4/99	0.013016596125147231	0.22885895873766327	0	0	4.639106145251397	20.140819016352143	DOP1B;AP2A1;TRIM27;SORL1
Positive Regulation of Protein Catabolic Process (GO:0045732)	4/99	0.013016596125147231	0.22885895873766327	0	0	4.639106145251397	20.140819016352143	RDX;IDE;EZR;SORL1
Protein Localization to Centrosome (GO:0071539)	2/21	0.015598644765561194	0.26630729759175487	0	0	11.513812154696133	47.90403574240906	CEP131;CEP192
Regulation of Cardiac Muscle Cell Proliferation (GO:0060043)	2/21	0.015598644765561194	0.26630729759175487	0	0	11.513812154696133	47.90403574240906	LONP1;NRG1
Negative Regulation of Protein Modification by Small Protein Conjugation or Removal (GO:1903321)	3/58	0.016090876017629163	0.2669725626586923	0	0	5.988484848484848	24.729465396378817	USP4;NXN;ARRB2
Eye Development (GO:0001654)	3/58	0.016090876017629163	0.2669725626586923	0	0	5.988484848484848	24.729465396378817	FBN2;PBX2;FBN1
Regulation of ERK1 and ERK2 Cascade (GO:0070372)	6/223	0.016930016578385686	0.27699388235192135	0	0	3.0617823947512304	12.487991131872718	RAPGEF2;FBLN1;NRG1;ARRB2;EZR;YWHAZ
Positive Regulation of Cell Cycle (GO:0045787)	3/60	0.01761078700565804	0.2841850286666462	0	0	5.777777777777778	23.337852296110903	LONP1;RAD23A;AURKA
post-Golgi Vesicle-Mediated Transport (GO:0006892)	3/61	0.01839975208304663	0.28783151343929514	0	0	5.677873563218391	22.6854787370262	DOP1B;AP2A1;SORL1
Negative Regulation of Interleukin-2 Production (GO:0032703)	2/23	0.018569775060599685	0.28783151343929514	0	0	10.416206261510128	41.5212898981681	TRIM27;EZR
Eye Morphogenesis (GO:0048592)	2/23	0.018569775060599685	0.28783151343929514	0	0	10.416206261510128	41.5212898981681	FBN2;FBN1
Regulation of DNA-templated Transcription (GO:0006355)	29/2139	0.019974989176211103	0.3010922211678247	0	0	1.5803009786422109	6.184151252125024	KDM5C;NFIX;KMT2B;SGF29;ZNF7;SALL1;MECOM;ZNF746;ZNF624;ZNF324;ZNF423;ZNF521;MLXIP;TBX1;ZNF121;ZNF142;NEK4;ZBTB38;MBD1;NRG1;ZFHX4;SCAF1;CREB1;KANSL2;ZSCAN25;PKN1;PFDN5;ZNF213;ZNF574
Endocrine System Development (GO:0035270)	2/24	0.02013758550029492	0.3010922211678247	0	0	9.942240080361627	38.826110698097004	TBX1;SALL1
Mitotic Cell Cycle Phase Transition (GO:0044772)	4/113	0.020192092930609636	0.3010922211678247	0	0	4.040387473732766	15.767467431122169	CCNA2;ZNF324;AURKA;CLASP2
Positive Regulation of Binding (GO:0051099)	3/64	0.020883018851209214	0.3027516436850312	0	0	5.397814207650273	20.883165870424957	DDX11;RAPGEF2;IDE
Negative Regulation of NF-kappaB Transcription Factor Activity (GO:0032088)	3/65	0.021749622274542236	0.3027516436850312	0	0	5.310483870967742	20.329376031744392	OTULIN;ARRB2;RBCK1
Regulation of Centrosome Cycle (GO:0046605)	2/25	0.021758738559715232	0.3027516436850312	0	0	9.509488349747778	36.39984731236641	CEP131;AURKA
Protein Phosphorylation (GO:0006468)	8/373	0.021787888321241056	0.3027516436850312	0	0	2.43625831702544	9.32210137058044	CREB1;NEK4;MINK1;LONP1;PKN1;MAP3K6;YWHAZ;AURKA
Negative Regulation of DNA-templated Transcription (GO:0045892)	16/1006	0.022533488606263606	0.3027516436850312	0	0	1.8220044758966916	6.910412384099353	KDM5C;ZNF131;NFIX;ZBTB38;MBD1;NRG1;SGF29;YWHAZ;SALL1;CREB1;MECOM;ZNF746;TRIM27;EZR;ZNF423;PFDN5
Regulation of Neuron Projection Development (GO:0010975)	5/176	0.02306619034497029	0.3027516436850312	0	0	3.227215980024969	12.164627107038656	FYCO1;FBXO38;RAPGEF2;PKN1;ITM2C
Regulation of Cell Size (GO:0008361)	2/26	0.023432138109251075	0.3027516436850312	0	0	9.11279926335175	34.206229570017165	RDX;EZR
MAPK Cascade (GO:0000165)	4/119	0.023884704868615676	0.3027516436850312	0	0	3.828418751518096	14.297294866885402	MINK1;RAPGEF2;PKN1;MAP3K6
Positive Regulation of Intracellular Protein Transport (GO:0090316)	3/69	0.02541038982803223	0.3027516436850312	0	0	4.987626262626263	18.317541948743983	FYCO1;CEP131;SORL1
Negative Regulation of DNA-binding Transcription Factor Activity (GO:0043433)	4/122	0.02587456074644788	0.3027516436850312	0	0	3.730517943376574	13.633159184624036	OTULIN;LONP1;RBCK1;ARRB2
Negative Regulation of Immune Response (GO:0050777)	3/70	0.026374130261459516	0.3027516436850312	0	0	4.912935323383085	17.860345859718784	LONP1;TRIM27;YWHAZ
Protein Modification Process (GO:0036211)	10/545	0.02874826817730685	0.3027516436850312	0	0	2.083301820539139	7.39400846979236	CCNA2;CREB1;NEK4;MINK1;LONP1;PLOD2;PKN1;MAP3K6;YWHAZ;AURKA
Camera-Type Eye Development (GO:0043010)	2/29	0.02875508413571833	0.3027516436850312	0	0	8.099038264784122	28.74300643050674	FBN2;FBN1
Negative Regulation of RNA Biosynthetic Process (GO:1902679)	9/470	0.029356923910949392	0.3027516436850312	0	0	2.1717405939112875	7.6623934793423425	KDM5C;SALL1;MECOM;ZBTB38;MBD1;ZNF746;NRG1;ZNF423;PFDN5
Regulation of Anatomical Structure Morphogenesis (GO:0022603)	4/127	0.029406728443666	0.3027516436850312	0	0	3.5779624835354498	12.617798377904293	TBX1;FYCO1;PKN1;CLASP2
Protein-Containing Complex Assembly (GO:0065003)	7/323	0.029466814165606106	0.3027516436850312	0	0	2.4544555523590335	8.650705503751052	FARP2;POMP;LONP1;NRG1;LAMC1;PIK3C2A;PFDN5
Small GTPase-mediated Signal Transduction (GO:0007264)	5/188	0.029539890031878957	0.3027516436850312	0	0	3.013753300178056	10.61448048569838	CCNA2;FARP2;GARRE1;RAPGEF2;REPS1
Clathrin-Dependent Endocytosis (GO:0072583)	2/30	0.03062681341556903	0.3027516436850312	0	0	7.80939226519337	27.2225996104864	AP2B1;AP2A2
Regulation of Protein Catabolic Process (GO:0042176)	4/129	0.030895719304016453	0.3027516436850312	0	0	3.5203575418994415	12.240767710006494	RDX;IDE;EZR;SORL1
Regulation of Centrosome Duplication (GO:0010824)	2/31	0.03254553576927245	0.3027516436850312	0	0	7.539721851781292	25.824414935724302	CEP295;CEP131
Negative Regulation of Supramolecular Fiber Organization (GO:1902904)	3/76	0.03256259468858024	0.3027516436850312	0	0	4.507762557077625	15.437243315570893	PFDN5;TUBB4A;CLASP2
Circulatory System Development (GO:0072359)	4/132	0.03321129330058594	0.3027516436850312	0	0	3.4373254189944134	11.703630048220377	TBX1;SALL1;NXN;FBN1
Non-Motile Cilium Assembly (GO:1905515)	2/32	0.034510244666778725	0.3027516436850312	0	0	7.288029465930018	24.535144289179694	GORAB;ENKD1
Nuclear Receptor-Mediated Signaling Pathway (GO:0141193)	2/32	0.034510244666778725	0.3027516436850312	0	0	7.288029465930018	24.535144289179694	TBX1;LONP1
Protein Localization to Membrane (GO:0072657)	5/199	0.036391877870321054	0.3027516436850312	0	0	2.841277655507935	9.414316843766922	RDX;MAP7;RAPGEF2;EZR;CLASP2
Positive Regulation of G1/S Transition of Mitotic Cell Cycle (GO:1900087)	2/33	0.036519947917931714	0.3027516436850312	0	0	7.052575298520763	23.343295350080577	MTBP;RDX
Positive Regulation of Transcription by RNA Polymerase II (GO:0045944)	15/983	0.0365857941036928	0.3027516436850312	0	0	1.7385810212514758	5.751391623642532	MLXIP;TBX1;ACTR2;ZNF462;NFIX;ZBTB38;AKAP8L;PBX2;DCAF6;THAP3;SALL1;CREB1;ZNF407;ZNF746;FIZ1
Regulation of Protein Phosphorylation (GO:0001932)	4/137	0.03729049132107213	0.3027516436850312	0	0	3.3072625698324023	10.877642515340195	TBX1;FBLN1;PKN1;REPS1
Positive Regulation of Organelle Organization (GO:0010638)	3/81	0.03824674477548638	0.3027516436850312	0	0	4.217735042735042	13.765408472895537	FYCO1;AURKA;REPS1
JNK Cascade (GO:0007254)	2/34	0.038573667435700724	0.3027516436850312	0	0	6.831837016574585	22.238896289805304	MINK1;MAP3K6
Negative Regulation of Microtubule Polymerization or Depolymerization (GO:0031111)	2/34	0.038573667435700724	0.3027516436850312	0	0	6.831837016574585	22.238896289805304	TUBB4A;CLASP2
Protein Autophosphorylation (GO:0046777)	4/140	0.0398703985791892	0.3027516436850312	0	0	3.233815313835031	10.419744623050578	MINK1;LONP1;PKN1;AURKA
Organelle Assembly (GO:0070925)	7/346	0.040368471764989956	0.3027516436850312	0	0	2.2852306248323946	7.334918906197044	GABARAPL2;ABCC4;ACTR2;CEP131;AP1B1;POC1B;GABARAP
Regulation of p38MAPK Cascade (GO:1900744)	2/35	0.04067043911916728	0.3027516436850312	0	0	6.624476812322116	21.21325579350047	MINK1;EZR
Cellular Response to cAMP (GO:0071320)	2/35	0.04067043911916728	0.3027516436850312	0	0	6.624476812322116	21.21325579350047	RAPGEF2;EZR
Cellular Response to Starvation (GO:0009267)	4/141	0.04075246562767203	0.3027516436850312	0	0	3.2100477103127676	10.272919665510251	GABARAPL2;PKN1;YWHAZ;GABARAP
Neuron Projection Development (GO:0031175)	5/206	0.04122204919789696	0.3027516436850312	0	0	2.74134943261222	8.74156570195842	MINK1;VPS13B;RAPGEF2;PKN1;MANF
Plasma Membrane Bounded Cell Projection Assembly (GO:0120031)	6/277	0.04240934143887055	0.3027516436850312	0	0	2.444930889986866	7.726926881455692	ACTR2;CEP131;MINK1;RAPGEF2;POC1B;EZR
Sister Chromatid Segregation (GO:0000819)	2/36	0.042809312635834276	0.3027516436850312	0	0	6.429314267143321	20.258766781210145	NCAPG2;ZWINT
Establishment of Mitotic Spindle Localization (GO:0040001)	2/36	0.042809312635834276	0.3027516436850312	0	0	6.429314267143321	20.258766781210145	CLASP2;ENKD1
Establishment or Maintenance of Epithelial Cell Apical/Basal Polarity (GO:0045197)	2/36	0.042809312635834276	0.3027516436850312	0	0	6.429314267143321	20.258766781210145	EZR;MYO9A
Negative Regulation of Transforming Growth Factor Beta Receptor Signaling Pathway (GO:0030512)	3/85	0.04313380177725097	0.3027516436850312	0	0	4.0111788617886175	12.60893347546144	FBN2;MECOM;FBN1
Regulation of Organelle Assembly (GO:1902115)	3/86	0.044402136197846435	0.3027516436850312	0	0	3.9626506024096386	12.34154730020882	CEP295;RDX;EZR
ERBB4 Signaling Pathway (GO:0038130)	1/5	0.04492458616220098	0.3027516436850312	0	0	27.21565934065934	84.44393291373966	NRG1
Negative Regulation of Keratinocyte Differentiation (GO:0045617)	1/5	0.04492458616220098	0.3027516436850312	0	0	27.21565934065934	84.44393291373966	SRSF6
Regulation of Hormone Biosynthetic Process (GO:0046885)	1/5	0.04492458616220098	0.3027516436850312	0	0	27.21565934065934	84.44393291373966	STC2
Activation of Transmembrane Receptor Protein Tyrosine Kinase Activity (GO:0007171)	1/5	0.04492458616220098	0.3027516436850312	0	0	27.21565934065934	84.44393291373966	NRG1
Bradykinin Catabolic Process (GO:0010815)	1/5	0.04492458616220098	0.3027516436850312	0	0	27.21565934065934	84.44393291373966	IDE
Bundle of His cell-Purkinje Myocyte Adhesion Involved in Cell Communication (GO:0086073)	1/5	0.04492458616220098	0.3027516436850312	0	0	27.21565934065934	84.44393291373966	DSG2
Cellular Response to Vitamin D (GO:0071305)	1/5	0.04492458616220098	0.3027516436850312	0	0	27.21565934065934	84.44393291373966	LONP1
Response to cGMP (GO:0070305)	1/5	0.04492458616220098	0.3027516436850312	0	0	27.21565934065934	84.44393291373966	RAPGEF2
Response to Glucagon (GO:0033762)	1/5	0.04492458616220098	0.3027516436850312	0	0	27.21565934065934	84.44393291373966	CREB1
Dermatan Sulfate Proteoglycan Metabolic Process (GO:0050655)	1/5	0.04492458616220098	0.3027516436850312	0	0	27.21565934065934	84.44393291373966	CHST14
Diet Induced Thermogenesis (GO:0002024)	1/5	0.04492458616220098	0.3027516436850312	0	0	27.21565934065934	84.44393291373966	SORL1
Ear Development (GO:0043583)	1/5	0.04492458616220098	0.3027516436850312	0	0	27.21565934065934	84.44393291373966	TBX1
Epithelial Cell Differentiation Involved in Kidney Development (GO:0035850)	1/5	0.04492458616220098	0.3027516436850312	0	0	27.21565934065934	84.44393291373966	SALL1
Tongue Development (GO:0043586)	1/5	0.04492458616220098	0.3027516436850312	0	0	27.21565934065934	84.44393291373966	TBX1
Ventricular Cardiac Muscle Cell Differentiation (GO:0055012)	1/5	0.04492458616220098	0.3027516436850312	0	0	27.21565934065934	84.44393291373966	NRG1
Intracellular Oxygen Homeostasis (GO:0032364)	1/5	0.04492458616220098	0.3027516436850312	0	0	27.21565934065934	84.44393291373966	CIAO3
Regulation of Basement Membrane Organization (GO:0110011)	1/5	0.04492458616220098	0.3027516436850312	0	0	27.21565934065934	84.44393291373966	LAMC1
Negative Regulation of Amyloid Precursor Protein Biosynthetic Process (GO:0042985)	1/5	0.04492458616220098	0.3027516436850312	0	0	27.21565934065934	84.44393291373966	ITM2C
Negative Regulation of Cell Size (GO:0045792)	1/5	0.04492458616220098	0.3027516436850312	0	0	27.21565934065934	84.44393291373966	RDX
Negative Regulation of Cellular Response to Hypoxia (GO:1900038)	1/5	0.04492458616220098	0.3027516436850312	0	0	27.21565934065934	84.44393291373966	HYOU1
Regulation of Receptor Internalization (GO:0002090)	2/37	0.04498935127086724	0.3027516436850312	0	0	6.245303867403315	19.368744843402055	MKLN1;ARRB2
Negative Regulation of Wnt Signaling Pathway (GO:0030178)	4/146	0.0453285525520149	0.3027516436850312	0	0	3.0962310173892518	9.579175705456292	TLE3;NXN;LZTS2;PFDN5
Regulation of Intracellular Protein Transport (GO:0033157)	2/38	0.047209631760040685	0.3027516436850312	0	0	6.071516267648865	18.53729448479825	FYCO1;CEP131
Nuclear Transport (GO:0051169)	2/38	0.047209631760040685	0.3027516436850312	0	0	6.071516267648865	18.53729448479825	GLE1;NUP88
Positive Regulation of Exocytosis (GO:0045921)	2/38	0.047209631760040685	0.3027516436850312	0	0	6.071516267648865	18.53729448479825	RAB3D;CLASP2
Positive Regulation of Protein Binding (GO:0032092)	2/38	0.047209631760040685	0.3027516436850312	0	0	6.071516267648865	18.53729448479825	RAPGEF2;IDE
Regulation of Axonogenesis (GO:0050770)	2/38	0.047209631760040685	0.3027516436850312	0	0	6.071516267648865	18.53729448479825	FYCO1;PKN1
Regulation of Axon Extension (GO:0030516)	2/39	0.049469244135851936	0.3027516436850312	0	0	5.907122592205465	17.759197775947804	FYCO1;CLASP2
Mitotic Spindle Organization (GO:0007052)	3/90	0.049659180250155845	0.3027516436850312	0	0	3.7796934865900385	11.348801855171182	CEP192;AURKA;CLASP2
Protein Localization to Organelle (GO:0033365)	4/151	0.050180469728365464	0.3027516436850312	0	0	2.9901569566374038	8.946936472452	GABARAPL2;PKN1;ZNF423;SORL1
Regulation of Cytokine-Mediated Signaling Pathway (GO:0001959)	2/40	0.05176729153556806	0.3027516436850312	0	0	5.751381215469613	17.029821183033803	OTULIN;MIB2
G2/M Transition of Mitotic Cell Cycle (GO:0000086)	2/40	0.05176729153556806	0.3027516436850312	0	0	5.751381215469613	17.029821183033803	CCNA2;AURKA
Branching Morphogenesis of an Epithelial Tube (GO:0048754)	2/40	0.05176729153556806	0.3027516436850312	0	0	5.751381215469613	17.029821183033803	SALL1;PKN1
Positive Regulation of Cell Adhesion (GO:0045785)	3/92	0.05239660509531697	0.3027516436850312	0	0	3.69438202247191	10.894412938990062	NRG1;DSG2;LAMC1
'De Novo' AMP Biosynthetic Process (GO:0044208)	1/6	0.053665690216908445	0.3027516436850312	0	0	21.771428571428572	63.68102356945839	PFAS
GMP Biosynthetic Process (GO:0006177)	1/6	0.053665690216908445	0.3027516436850312	0	0	21.771428571428572	63.68102356945839	PFAS
Antigen Processing and Presentation of Endogenous Peptide Antigen via MHC Class I (GO:0019885)	1/6	0.053665690216908445	0.3027516436850312	0	0	21.771428571428572	63.68102356945839	IDE
